name,type,url,rating,review_count,address,phone,outreach_status,notes
Team Building Paris by DAMA,Agence événementielle,https://team-building-paris.com/,5.0,15,"40 Rue du Louvre, 75001 Paris",06 37 20 60 37,pending,
EVENEMENT PARIS,Agence événementielle,http://evenementparis.fr/,5.0,15,"10 Av. Georges Pompidou, 92593 Levallois-Perret",01 45 06 00 86,pending,
Life'S Events Wedding Planner,Agence événementielle,http://www.lifeevents.fr/,4.8,14,"14 Av. de l'Opéra, 75001 Paris",06 48 48 03 82,pending,
Opaline Paris,Organisateur de mariages,http://www.opalineparis.com/,5.0,14,"229 Rue Saint-Honoré, 75001 Paris",06 62 06 03 18,pending,
Kampai,Organisateur d'événements,http://www.kampai-events.fr/,4.8,12,"146 Rue Montmartre, 75002 Paris",,pending,
Robin Wood and Co,Agence événementielle,https://robinwoodandco.com/,4.6,11,"46bis Av. du Maine, 75015 Paris",06 75 86 27 26,pending,
Lieux Atypiques,Agence événementielle,http://www.lieuxatypiques.com/,4.9,10,"108 Rue Vieille du Temple, 75003 Paris",01 84 19 09 87,pending,
RIPAILLES Conseil & Evènementiel,Agence événementielle,https://ripailles.paris/,4.9,10,"3 Rue Gabriel Laumain, 75010 Paris",06 81 97 32 22,pending,
Photographe événementiel,Agence événementielle,https://photographeparisevenementiel.wordpress.com/,5.0,9,"17 Rue St Denis, 75001 Paris",06 64 73 67 50,pending,
Super Spot,Salle de réception,https://www.superspot.fr/,5.0,9,Paris,,pending,
KCO,Agence événementielle,http://www.kco.fr/,4.0,8,"10 Rue de Paradis, 75010 Paris",,pending,
Mille et Une Féeries,Organisateur d'événements,http://www.milleetunefeeries.fr/,3.9,7,"27 Bd Saint-Martin, 75003 Paris",06 43 54 51 26,pending,
Wikevent,Agence événementielle,https://www.wikevent.fr/,5.0,7,"10 Rue de la Paix, 75002 Paris",06 09 39 67 65,pending,
Paris événement,Agence événementielle,http://www.paris-evenement.fr/,4.9,7,"17 Rue des Gâtines, 75020 Paris",01 40 29 19 85,pending,
Nino Agency,Agence événementielle,https://www.ninoagency.com/,4.8,6,Paris,07 66 92 45 26,pending,
Weddinglight Events,Organisateur d'événements,http://www.weddinglightevents.com/,4.6,5,"55 Rue Réaumur, 75002 Paris",06 24 96 71 57,pending,
PARADIS EVENTS,Organisateur d'événements,http://www.paradisevents.fr/,3.4,5,,06 67 75 10 58,pending,
Bar'Prestige,Agence événementielle,https://bonnelled.wixsite.com/barprestige,4.2,5,"8 Bd Saint-Martin, 75010 Paris",07 52 62 94 46,pending,
Paris Exclusif,Agence événementielle,,5.0,5,"14 Rue Falguière, 75015 Paris",01 73 79 02 10,pending,
Réunir,Organisateur d'événements,http://www.reunir.com/,5.0,4,"260 Rue Saint-Honoré, 75001 Paris",01 53 61 60 00,pending,
Agence Bonchar,Agence événementielle,https://agencebonchar.com/,5.0,4,"209 Rue Saint-Honoré, 75001 Paris",,pending,
Make it Happen Paris,Agence événementielle,https://makeithappen-paris.com/,5.0,4,"48 Rue de Turenne, 75003 Paris",06 63 62 68 05,pending,
